,text,label
0,sih nya kalau sudah verifikasi pas scan wajah gagal sinyal nya bagus gagal,1
1,kecewa daftar susah sudah kali prosedur vidio daftar vidionya saja suruh verivikasi salah,1
2,gagal otentifikasi wajah 8 detik alas sinyal bagus kecewa jaring normal kendala buka aplikasi seluler,1
3,gapernah ikut ikut serta sih nilai apa cuma memang aplikasi bad banget sinyal gagal log in manusia sabar yang menghadapin aplikasi maaf salah nya,1
4,kecewa aplikasi brimo bug pikir brimo mudah kecewa suka antri bank layan costumer servis sana panas,1
5,aplikasi buruk saja registrasi pas bagi tanda tangan salah sistem kode sism daftar jaring lancar nya,1
6,aplikasi m banking ribet koneksi buka aplikasi saja lancar kenpa rekam wajah stabil konsul whatsapp muas sesuai harap,1
7,aplikasi buruk update versi baru sulit transaksi error signal kondisi tolong baik sepele nasabah rugi percaya kurang,1
8,aplikasi trouble tolong sistem baik mudah susah buruk,1
9,turun bintang dulu biar cepat benerin bug nya auto log out halaman utama transaksi jujur ganggu nyaman tunggu update baik kesan takut seperti yang nyadap begitu auto logout saja dapat pribadi sih tidak papa kritis dikit nyaman biar brimo tingkat pagi,1
10,aplikasi pulsa uang sudah hilang pulsa tidak kirim aplikasi tipu iya pusat bantu respon brimo kecewa aplikasi,1
11,woi aplikasi tidak buka fitur lai bag memang pakai lebih baik baik,1
12,mohon bantu upload video via data wifi terang terang banget suara paki suara sam diam saja sodara disan kasus mohon baik lagi mudah registrasi,1
13,aplikasi buruk daftar gagal ribu kali coba foto rekam dan lain daftar komplain cs bri suruh registrasi hp bagaimana registrasi tidak pakai bank,1
14,susah banget aktivasi video rekam sudah brpa kali gagal niat mudah sulit,1
15,daftar ribet mati gagal proses rekam coba kali kali gagal,1
16,hilang saldo transaksi gagal saldo kurang dengan bnyak resah,1
17,aplikasi tidak daftar hp gagal rekam vidio beda ewalet gampang daftar,1
18,kartu atm karnakan cip rusak coba download brimo sulit butuh transaksi sulit daftar nya,1
19,login id pass yang sah blokir email intruksi lupa password hasil ubah pass login eh blokir sudah 6x baik appnya karena sandi gagal sidik jari yang ngak sengaja pencet hitung salah masuk password,1
20,tolong baik tombol iya tarik tunai tidak tombol narik nya kayak ngelek begitu sinyal bagus uang mas tidak tarik,1
21,kurang masalah daftar brimo nasabah contoh kode verification email yang sudah muncul masuk kode salah,1
22,mohon baik tarik tunai iya iya narik uang tarik tunai fungsi kemarin tarik tunai ink tarik tunai iya fungsi,1
23,kayak yang aplikasi yang aneh kacau video 8 detik gagal saya baca koment2 kasus baik it yang aplikasi nge hank,1
24,akun blokir user name pasword nya sudah bnr pas ganti user neme ny sudah bnr pas ganti pasword tahu nya tidak dari malam pagi coba malah tidak memang pakai brimo kartu malah ribet tidak sesuai sama arah,1
25,kali beda proses rekam video proses kirim video aplikasi henti aplikasi tanggap ulang gagal tunggu transaksi sivo gagal bagaimana data masuk loh,1
26,parah beli pulsa kemarin pagi jam delapan jam delapan pagi sudah lewa hari penuh status proses saldo potong kemarin order,1
27,berkali2 beri notifikasi brimo kartu sbgai sumber dana untuk transaksi qris tapi ttap klik kartu kredit comingsoon kalau belum sedang apa beri notif,1
28,semenjak update versi baru yang indikator koneksi keaadaan transaksi aplikasi tiba2 macet ulang kali sampai2 restart hp aplikasi macet tidak buka,1
29,foto ktp klik tombol kamera susah sekali ngeblur upload video gagal tera terang verivikasi wajah gagal aplikasi baik mudah verifikasi terima kasih,1
30,kenapayah rekam video muka deteksi jernih terang tapi kenapa ngak,1
31,daftar lupa pin sistem salah sistem jaring setabil kacau setor,1
32,update mudah sulit saja login sudah logout saja ngetik nomor rek transaksi mental begitu saja pdhal jaring sudah bagus device tidak kentang banget sisa internal ram pdhal,1
33,saldo baca jaring bagus taransaksi sulit,1
34,tolong baik aplikasi masuk akun saja susah ampun jaring basa wifi data selular jaring bagus semua ttep saja tidak masuk urgent tidak sih bikin aplikasi mobile banking nyaman aman customernya,1
35,aplikasi tidak seperti sampah login saja tidak gara2 koneksi internet jaring sudah bagus coba pakai wifi tidak bgst,1
36,aplikasi sudah rekening bri tapi gagal verifikasi 7x nyoba gagal nomor kode kgk yang kirim email tertawa 0 bintang mustinya ini aplikasi,1
37,sudah sampai 100x ulang rekam video salah sudah ngikutin pandu pakai aksesoris jaring bagus tidak aplikasi sudah keluar saja atm lagi biar tidak repot2,1
38,kecewa mbaking baru top up dana terang gagal saldo kurang aju lapor cs eror terang nya pakai koneksi lancar,1
39,semenjak update tidak login katanyat jaring bagus pakai wifi,1
40,sering ganggu sulit transaksi kayak begini mending buka rekening saja,1
41,suck rekening nyisa 50 ribu tidak bisa dihabisin saldo saya beli pulsa 50 ribu tidak bisa aneh banget ini aplikasi pakai alas saldo endap bilang saja biar kamu motongin uang admin yang,1
42,aplikasi ribet susah daftar tidak banget kesel saya sudah kali daftar terus suruh ngulang rekam video,1
43,usul menu fast menu hilang aman login orang menu lapor menu fast menu handphone tangan orang,1
44,rekam video 8 detik fungsi putus koneksi ambil kuota saja sulit 26 kali rekam satu yang hasil koneksi lancar sungguh,1
